auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,shortName,longName,firstTradeDateEpochUtc,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,Ticker,All Time High,52 Week High,Breakout Level,Today's High,Today's Open,Current Market Price,Stop Loss,Stop Loss Points,Stop Loss Hit,Entry Price,Exit Price,Profit,Trailing Exit,Trailing Profit
,,,,,86400,2.0,1199.7,1200.0,1199.0,1265.0,1199.7,1200.0,1199.0,1265.0,3.55,0.042600002,0.803,43.348705,,76393.0,76393.0,127934.0,124524.0,124524.0,1221.8,1222.95,43337986048.0,458.0,1265.0,3.6067007,1014.406,800.0297,43517583360.0,0.07506,13866461.0,35464800.0,0.55826,0.03758,35517000.0,129.867,9.409626,1711843200.0,1743379200.0,1711843200.0,0.625,901913024.0,28.19,,2:1,1429142400.0,3.622,20.71,1.5528247,0.18961596,1.2,1691712000.0,PITTI ENGINEERING,Pitti Engineering Limited,1170387900,19800000,1222.0,,,,,,none,,1094588032.0,34.152,2101259008.0,6161705984.0,12015964160.0,148.038,374.912,0.624,0.325,0.32313,0.17487,0.19629,PITTIENG.NS,1208.800048828125,1265.0,1208.800048828125,1265.0,1200.0,1222.0,1199.0,9.800048828125,No,1208.800048828125,1222.0,13.199951171875,1260.0,51.199951171875
,,,,,86400,2.0,450.55,460.0,457.1,473.05,450.55,460.0,457.1,473.05,,,0.189,57.689026,,114330.0,114330.0,680308.0,318552.0,318552.0,473.05,,79543353344.0,176.65,473.05,1.2662953,314.0778,271.1072,80599932928.0,0.02192,32138255.0,168075008.0,0.78258,0.04659,168150000.0,28.622,16.527496,1711843200.0,1743379200.0,1711843200.0,0.771,1376700032.0,8.2,,5:1,1652400000.0,1.283,18.911,1.2370903,0.18961596,0.5,1342396800.0,BLACK BOX LIMITED,Black Box Limited,1025495100,19800000,473.05,,,,,,none,,2226500096.0,13.251,4262000128.0,7122500096.0,62815801344.0,148.102,374.148,0.765,-0.12,0.13551,0.06785,0.0647,BBOX.NS,457.1000061035156,473.05,457.1000061035156,473.04998779296875,460.0,473.04998779296875,456.1000061035156,3.899993896484375,No,460.0,473.04998779296875,13.04998779296875,468.04998779296875,8.04998779296875
,,,,,86400,2.0,236.33,245.0,244.89,268.5,236.33,245.0,244.89,268.5,,,,23.484463,,5695889.0,5695889.0,1698844.0,2385306.0,2385306.0,256.65,256.94,32023537664.0,141.0,268.5,2.1727593,192.1048,189.0442,32483770368.0,0.0829,40092325.0,124644000.0,0.67810994,0.04082,,57.892,4.437919,1711843200.0,1743379200.0,1711843200.0,0.682,1221849984.0,10.94,,,,2.204,15.477,,,,,Vishnu Prakash R Pungli L,Vishnu Prakash R Punglia Limited,1693885500,19800000,256.92,,,,,,none,,906979968.0,7.282,2098899968.0,3955170048.0,14738650112.0,54.852,132.085,0.261,0.442,0.18509,0.14241,0.15492,VPRPL.NS,242.0,268.5,242.0,268.5,245.0,256.94000244140625,241.0,4.0,No,245.0,256.94000244140625,11.94000244140625,263.5,18.5
,,,,,86400,2.0,502.1,515.0,508.4,547.2,502.1,515.0,508.4,547.2,,,0.292,28.65985,22.854078,1474328.0,1474328.0,233357.0,148034.0,148034.0,532.5,533.1,86747979776.0,336.25,547.2,4.4647703,473.359,433.8315,77265018880.0,0.15709,49085669.0,162810000.0,0.69876,0.07767,163896000.0,128.691,4.137819,1711843200.0,1743379200.0,1711843200.0,0.507,3052232960.0,18.58,23.3,2:1,1083196800.0,3.977,22.823,0.46278226,0.18961596,0.8,1584576000.0,FDC LTD,FDC Limited,1025495100,19800000,532.5,,,,,,none,,4763195904.0,29.229,3385371904.0,205184992.0,19429437440.0,0.978,118.274,0.535,0.063,0.66229,0.17424,0.09932,FDC.NS,521.6500244140625,547.2,521.6500244140625,547.2000122070312,515.0,532.5,515.4335241699218,6.216500244140661,No,521.6500244140625,532.5,10.8499755859375,542.2000122070312,20.54998779296875
,,,,,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SJLOGISTIC.NS,0P0001S278,56500",,1702957500,19800000,,,,,,,,,,,,,,,,,,,,,SJLOGISTIC.NS,510.79998779296875,0.0,510.79998779296875,528.9500122070312,520.0,528.9500122070312,509.79998779296875,10.20001220703125,No,520.0,528.9500122070312,8.95001220703125,523.9500122070312,3.95001220703125
,,,,,86400,2.0,335.3,340.6,338.95,363.45,335.3,340.6,338.95,363.45,2.25,0.2052,0.59,41.026993,40.13203,5177756.0,5177756.0,2271664.0,4509066.0,4509066.0,349.55,349.8,71611957248.0,138.6,363.45,2.2483497,260.9886,240.84116,69624381440.0,0.054899998,122503324.0,204868992.0,0.4758,0.15303999,205028000.0,85.091,4.1079545,1711843200.0,1743379200.0,1711843200.0,0.012,1748526976.0,8.52,8.71,,,2.186,15.624,1.2786272,0.18961596,1.5,1722211200.0,ORIENT CEMENT LTD,Orient Cement Limited,1373600700,19800000,349.55,205.0,116.0,157.93,160.0,2.7,hold,15.0,764372992.0,3.731,4456271872.0,1696259968.0,31850897408.0,9.73,155.47,0.013,0.014,0.55307,0.13991,0.1247,ORIENTCEM.NS,337.48344935577853,363.45,337.48344935577853,363.45001220703125,340.6000061035156,349.54998779296875,336.48344935577853,4.116556747737093,No,340.6000061035156,349.54998779296875,8.949981689453125,358.45001220703125,17.850006103515625
2.0,7.0,7.0,1.0,5.0,86400,2.0,246.38,249.0,249.0,257.7,246.38,249.0,249.0,257.7,7.55,0.59419996,0.904,30.861944,33.17161,15437849.0,15437849.0,18058260.0,16473676.0,16473676.0,257.33,257.54,754897387520.0,157.55,257.7,1.6122084,229.4176,189.4709,1090971500544.0,0.0523,1739509642.0,2936430080.0,0.52731,0.22681,2936679936.0,30.666,8.383225,1711843200.0,1743379200.0,1719705600.0,-0.064,24487800832.0,8.33,7.75,2:1,1312243200.0,2.33,13.266,0.33902168,0.18961596,4.95,1712102400.0,ASHOK LEYLAND,Ashok Leyland Limited,1025495100,19800000,257.08,177.0,73.0,142.03,150.0,2.1,buy,40.0,68618801152.0,23.369,82237497344.0,408038309888.0,468238106624.0,345.368,159.431,-0.065,0.107,0.36839,0.17563,0.1523,ASHOKLEY.NS,248.88999938964844,257.7,248.88999938964844,257.70001220703125,249.0,257.0799865722656,247.88999938964844,1.1100006103515625,No,249.0,257.0799865722656,8.079986572265625,252.70001220703125,3.70001220703125
,,,,,86400,2.0,332.0,336.0,336.0,358.45,332.0,336.0,336.0,358.45,1.0,0.089099996,0.373,30.83779,,227902.0,227902.0,84650.0,307267.0,307267.0,345.55,345.95,8789299200.0,182.6,358.45,1.5085709,284.203,252.33275,9364098048.0,0.05998,6395437.0,25402600.0,,,26990800.0,113.739,3.0420525,1711843200.0,1743379200.0,1719705600.0,0.412,349470016.0,11.22,,3:2,1577664000.0,1.607,17.98,0.6314496,0.18961596,1.0,1692316800.0,MMP Industries Limited,MMP Industries Limited,1524714300,19800000,346.0,,,,,,none,,3916000.0,0.154,520799264.0,932236992.0,5826242048.0,32.258,229.413,0.411,0.027,0.23606001,0.08939,0.09797,MMP.NS,338.0,358.45,338.0,358.45001220703125,336.0,346.0,335.0,3.0,No,338.0,346.0,8.0,353.45001220703125,15.45001220703125
,,,,,86400,2.0,791.15,730.0,720.3,833.0,791.15,730.0,720.3,833.0,7.0,0.3545,0.934,48.776207,,4230498.0,4230498.0,2079915.0,1101857.0,1101857.0,,,277693661184.0,280.0,887.65,3.9411979,665.943,441.95325,285781458944.0,0.080790006,127451553.0,351000000.0,0.65215,0.16046,351497984.0,110.904,7.1336474,1711843200.0,1743379200.0,1711843200.0,0.394,5692100096.0,16.22,,10:1,1442361600.0,4.056,30.971,1.4987609,0.18961596,2.0,1719360000.0,AEGIS LOGISTICS,Aegis Logistics Limited,1025495100,19800000,791.15,,,,,,none,,19686199296.0,56.063,9227499520.0,26654300160.0,70459203584.0,59.738,200.778,0.394,-0.147,0.18121,0.13096,0.14882,AEGISCHEM.NS,970.0,887.65,887.65,899.9500122070312,879.7999877929688,894.2999877929688,878.7999877929688,8.850012207031227,No,887.65,894.2999877929688,6.649987792968773,894.9500122070312,7.300012207031273
,,,,,86400,2.0,578.75,581.0,581.0,605.1,578.75,581.0,581.0,605.1,4.0,0.056900002,0.719,11.394533,,1974554.0,1974554.0,1128606.0,1125909.0,1125909.0,598.7,600.3,191012749312.0,300.3,605.1,0.9114208,552.54,497.1865,225393524736.0,0.080019996,111484093.0,318275008.0,0.64779,0.09922,318590016.0,317.492,1.890284,1711843200.0,1743379200.0,1711843200.0,0.387,16770325504.0,52.67,,5:1,1260403200.0,1.075,7.114,0.7843379,0.18961596,4.0,1718064000.0,JINDAL SAW LTD,Jindal Saw Limited,1025495100,19800000,600.15,,,,,,none,,8946444288.0,28.142,31683637248.0,57612349440.0,209576902656.0,61.505,659.237,0.379,0.046,0.41516998,0.15118,0.11862001,JINDALSAW.NS,593.7144021099423,605.1,593.7144021099423,605.0999755859375,581.0,600.1500244140625,586.7772580888428,6.937144021099471,No,593.7144021099423,600.1500244140625,6.435622304120216,600.0999755859375,6.385573475995216
