auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,shortName,longName,firstTradeDateEpochUtc,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,Ticker,All Time High,52 Week High,Breakout Level,Today's High,Trailing Stop Loss,Today's Open,Current Market Price,Stop Loss,Stop Loss Points,Stop Loss Hit,Volume,Entry Price,Exit Price,Profit,Trailing Profit
,,,,,86400,2,93.55,94,93.88,110.25,93.55,94,93.88,110.25,0.5,,,40.828247,,7653042,7653042,508919,683386,683386,,,10229188608,68.15,110.25,0.970631,86.438,80.544,9540649984,0.02377,67612606,95585800,0.27851,0.18691999,95626704,144.976,0.73784626,1711843200,1743379200,1711843200,,250500000,2.62,,,,0.905,11.416,0.3412186,0.17829525,0.5,1719792000,GHCL Textiles Limited,GHCL Textiles Limited,1686541500,19800000,106.97,,,,,,none,,119600000,1.251,835699968,718200000,10538699776,5.183,110.254,,,0.22780001,0.0793,0.05347,GHCLTEXTIL.NS,97.71093305,110.25,97.71093305,110.25,105.25,94,106.9700012,95.73382372,1.977109331,No,7653042,97.71093305,106.9700012,9.259068168,7.539066947
10,9,3,7,9,86400,2,365.35,368.4,366.55,377.95,365.35,368.4,366.55,377.95,13,0.3808,0.53,14.175865,16.580587,7375086,7375086,5986679,7332621,7332621,,,5.586E+11,191.7,377.95,1.0251783,322.024,269.6555,5.03949E+11,0.072280005,730975163,1500000000,0.50163,0.2738,1503640064,116.154,3.2060885,1711843200,1743379200,1719705600,0.349,39386300416,26.27,22.46,02:01,1499040000,0.925,8.888,0.59402263,0.17829525,3,1720742400,PETRONET LNG,Petronet LNG Limited,1080272700,19800000,372.4,351,213,276.65,270,1.9,buy,37,74141999104,49.429,56702251008,30080999424,5.44881E+11,17.278,363.293,0.35,0.151,0.14726,0.10406,0.101969995,PETRONET.NS,367.8999939,377.95,367.8999939,377.9500122,372.9500122,368.3999939,372.3999939,366.8999939,1.5,No,7375086,368.3999939,372.3999939,4,4.550018311
,,,,,86400,2,247.38,249.35,246.05,262.8,247.38,249.35,246.05,262.8,3.5,0.4768,1.059,34.866665,23.233908,7074474,7074474,3153067,3825043,3825043,256.27,,1.76314E+11,136.85,262.8,2.782622,214.8286,195.7054,1.83511E+11,0.08124,301917523,688000000,0.56118,0.2524,690003008,53.815,4.762055,1711843200,1743379200,1711843200,-0.055,5147290112,7.35,11.03,,,2.896,22.995,0.75633657,0.17829525,3.5,1708041600,FIRSTSOURCE SOLUTI,Firstsource Solutions Limited,1172115900,19800000,256.27,300,220,248.3,244,1.9,buy,10,2081010048,3.026,7980630016,15486119936,63362449408,41.845,92.594,-0.057,0.073,0.37234002,0.12595001,0.10955,FSL.NS,258.9500122,262.8,258.9500122,262.7999878,257.7999878,249.3500061,256.269989,255.3605121,3.589500122,No,7074474,258.9500122,256.269989,-2.680023193,-1.150024414
,,,,,86400,2,179.18,180.25,179.6,186,179.18,180.25,179.6,186,0.1,0.0136,0.37,24.929058,,6862741,6862741,3346674,8068669,8068669,,,1.75794E+11,100,186,1.7523842,151.373,150.63075,1.89788E+11,0.07028,247509903,962040000,0.75073,0.09884,,47.014,3.8867145,1711843200,1743379200,1719705600,0.148,7050100224,7.33,,,,1.892,13.55,,,,,WELSPUN LIVING,Welspun Living Limited,1070509500,19800000,182.73,,,,,,none,,11635999744,11.974,14006474752,26322399232,1.00317E+11,57.06,104.317,0.163,0.161,0.47019002,0.13962,0.09649,WELSPUNLIV.NS,184.5,186,184.5,186,181,180.25,182.7299957,181.655,2.845,No,6862741,184.5,182.7299957,-1.770004272,-3.5
,,,,,86400,2,537,544.3,532.5,558.5,537,544.3,532.5,558.5,6,0.1475,0.906,20.294985,26.46154,5476049,5476049,3784633,4814906,4814906,,,3.49625E+11,365,558.5,1.3973602,504.015,478.524,3.76047E+11,0.06882,275449631,635100992,0.49863997,0.36469,635219008,218.897,2.5144246,1711843200,1743379200,1711843200,-0.039,17218660352,27.12,20.8,10:01,1187308800,1.503,9.253,0.2656139,0.17829525,6,1720137600,APOLLO TYRES,Apollo Tyres Limited,1009856700,19800000,550.4,330,140,266.38,276.5,2.1,buy,24,14053170176,22.127,40642551808,49051021312,2.50204E+11,35.283,393.959,-0.039,0.017,0.43619,0.16244,0.108459994,APOLLOTYRE.NS,555.1500244,558.5,555.1500244,558.5,553.5,544.2999878,550.4000244,548.5985242,6.551500244,No,5476049,555.1500244,550.4000244,-4.75,-1.650024414
4,2,8,1,3,86400,2,1500.05,1504.75,1501,1600,1500.05,1504.75,1501,1600,13,0.1666,0.373,30.882353,24.471722,4685147,4685147,2030170,1561900,1561900,,,1.2719E+12,1132,1600,4.9982886,1497.887,1383.2574,1.16082E+12,0.16197,551092609,807553024,0.32836,0.36924,807768000,330.784,4.7614155,1711843200,1743379200,1711843200,0.786,41215500288,51,64.36,05:02,1145836800,4.562,18.452,0.27360332,0.17829525,13,1722556800,CIPLA LTD,Cipla Limited,820467900,19800000,1575,1780,1015,1463.09,1512.5,2.4,buy,32,56819798016,70.377,62910500864,5594100224,2.54466E+11,2.087,315.185,0.786,0.097,0.65341,0.24723,0.16893,CIPLA.NS,1582,1600,1582,1600,1595,1504.75,1575,1565.18,16.82,No,4685147,1582,1575,-7,13
6,3,5,1,2,86400,2,1665.8,1670.45,1665,1723.8,1665.8,1670.45,1665,1723.8,13.5,0.3133,0.519,42.87769,52.45563,4590841,4590841,2380802,1871693,1871693,,,4.11305E+12,1068.35,1723.8,8.48107,1527.465,1430.45,3.87304E+12,0.19746,1059690283,2399330048,0.54685,0.26863,2399330048,265.352,6.460287,1711843200,1743379200,1711843200,0.338,95763800064,39.98,32.68,02:01,1375056000,7.986,30.08,0.463089,0.17829525,5,1720742400,SUN PHARMACEUTICAL,Sun Pharmaceutical Industries Limited,820467900,19800000,1714.25,1000,546,829.22,852.5,1.9,buy,36,1.90901E+11,79.564,1.2876E+11,32736700416,4.84968E+11,4.878,202.126,0.338,0.096,0.76405996,0.26549998,0.21121,SUNPHARMA.NS,1681.300049,1723.8,1681.300049,1723.800049,1718.800049,1670.449951,1714.25,1669.449951,11.85009766,No,4590841,1681.300049,1714.25,32.94995117,37.5
,,,,,86400,2,218.4,219.35,219.25,262.08,218.4,219.35,219.25,262.08,1.25,0.047199998,0.845,16.199371,,4488254,4488254,427245,402750,402750,,,9099150336,105.5,262.08,1.1702543,198.9668,171.4597,8449093120,0.07211,15425847,35286500,0.56261003,,35326900,100.025,2.5750563,1711843200,1743379200,1711843200,0.467,560697984,15.9,,02:01,1359331200,1.087,8.16,0.83606553,0.17829525,1.25,1720742400,20 MICRONS LTD,20 Microns Limited,1223264700,19800000,257.57,110,110,110,110,2,buy,1,487467008,13.815,1035483008,1218547968,7775361024,34.413,220.349,0.467,0.225,0.46511,0.13317001,0.11205,20MICRONS.NS,234.6672629,262.08,234.6672629,262.0799866,257.0799866,219.3500061,257.5700073,231.3205903,3.346672629,No,4488254,234.6672629,257.5700073,22.9027444,22.41272364
,,,,,86400,2,503.4,508.45,507,532.25,503.4,508.45,507,532.25,1,0.1261,0.59,64.125786,37.875183,4118129,4118129,1705796,1744404,1744404,,,3.84878E+11,308.5,532.25,5.5836654,473.025,424.133,3.94526E+11,0.08688,471879041,754958016,0.35236,0.47687998,761835008,101.501,5.0226107,1711843200,1743379200,1711843200,0.348,5988800000,7.95,13.46,,,5.724,33.353,0.50156605,0.17829525,1,1721779200,FORTIS HLTH (INDIA,Fortis Healthcare Limited,1178682300,19800000,509.8,595,485,527.85,522,1.8,buy,13,6002954240,7.951,11828637696,11550172160,68929200128,13.499,91.302,0.345,0.087,0.36407003,0.17161,0.15619999,FORTIS.NS,514.7000122,532.25,514.7000122,532.25,527.25,508.4500122,509.7999878,508.5530121,6.147000122,No,4118129,514.7000122,509.7999878,-4.900024414,12.54998779
,,,,,86400,2,663.95,668.9,666.8,768.4,663.95,668.9,666.8,768.4,1.25,0.0756,0.789,43.424076,,4048814,4048814,521583,528548,528548,,,88239153152,406.95,768.4,3.758296,571.67,546.6522,74370400256,0.08349,74677323,122930000,0.46452,0.18831,124900000,85.863,8.359829,1711843200,1743379200,1711843200,-0.109,1960199936,16.53,,10:01,1686528000,3.168,27.347,0.27498806,0.17829525,1.25,1693353600,Ion Exchange (India) Ltd,Ion Exchange (India) Limited,1645501500,19800000,717.8,,,,,,none,,5884400128,49.636,2719500032,1524199936,23478499328,14.946,198.038,-0.109,0.207,0.37616003,0.115830004,0.1046,IONEXCHANG.NS,710,768.4,710,768.4000244,763.4000244,668.9000244,717.7999878,701.9,8.1,No,4048814,710,717.7999878,7.799987793,53.40002441
2,4,10,9,8,86400,2,701.7,702.8,701.6,731.45,701.7,702.8,701.6,731.45,0.6,0.1997,0.757,120.21559,,3800735,3800735,1972164,2494801,2494801,,,1.04528E+12,463.45,731.45,1.1362902,608.361,564.30524,1.01848E+12,0.00944,360108842,1441959936,0.23791,0.68724996,1457799936,78.483,9.236395,1711843200,1743379200,1719705600,0.088,8688131072,6.03,,,,1.107,82.384,0.2088896,0.17829525,0.6,1718236800,ICICI PRUDENTIAL L,ICICI Prudential Life Insurance Company Limited,1475120700,19800000,724.9,585,430,523.35,520,1.6,buy,24,2616600064,1.82,12362617856,12000000000,9.19903E+11,10.632,639.463,0.084,0.088,0.06413,0.01344,0.010650001,ICICIPRULI.NS,722.0653429,731.45,722.0653429,731.4500122,726.4500122,702.7999878,724.9000244,713.8446895,8.220653429,No,3800735,722.0653429,724.9000244,2.834681478,4.384669271
,,,,,86400,2,768.25,777.4,775.95,874,768.25,777.4,775.95,874,2,0.034,,28.715502,,3767695,3767695,701847,1515503,1515503,,,46801358848,246.5,874,5.8994985,579.566,469.72275,39386632192,0.19208,15052493,55530800,0.71049005,0.00071,57045100,153.863,5.4776,1711843200,1743379200,1711843200,0.337,1523831040,29.35,,,,4.965,19.322,1.7447302,0.17829525,1,1700784000,EMS Limited,EMS Limited,1695267900,19800000,842.8,,,,,,none,,1195176960,23.04,2038471040,706547008,7933108224,8.826,152.933,0.212,0.289,0.27629998,0.25696,0.26481,EMSLIMITED.NS,817.5,874,817.5,874,869,777.4000244,842.7999878,808.325,9.175,No,3767695,817.5,842.7999878,25.29998779,51.5
