Ticker,ATH,52WeekHigh,Breakout,Today's High,T_open,CMP,SL,SL Points,SL-HIT,Volume,Entry,Exit,Profit
ITC.NS,497.3999938964844,510.65,497.3999938964844,510.6499938964844,496.0,494.04998779296875,495.0,2.399993896484375,Yes,42066148,497.3999938964844,495.0,-2.399993896484375
NTPC.NS,393.20001220703125,395.0,393.20001220703125,395.0,384.1000061035156,392.6000061035156,388.26801208496096,4.932000122070292,No,36864027,393.20001220703125,392.6000061035156,-0.600006103515625
NOVAAGRI.NS,77.19999694824219,83.91,77.19999694824219,83.91000366210938,70.33999633789062,83.91000366210938,75.42799697875977,1.7719999694824224,No,17704715,77.19999694824219,83.91000366210938,6.7100067138671875
PETRONET.NS,355.75,358.35,355.75,358.3500061035156,333.6000061035156,350.6000061035156,351.1925,4.5575000000000045,Yes,12855866,355.75,351.1925,-4.5575000000000045
ELECTCAST.NS,208.0,212.8,208.0,212.8000030517578,197.8000030517578,209.75999450683594,204.92,3.0800000000000125,No,11985957,208.0,209.75999450683594,1.7599945068359375
KALYANKJIL.NS,561.6500244140625,633.6,561.6500244140625,633.5999755859375,555.5,587.25,555.0335241699219,6.616500244140639,No,11700560,561.6500244140625,587.25,25.5999755859375
MARKSANS.NS,197.0500030517578,207.55,197.0500030517578,207.5500030517578,184.4499969482422,205.24000549316406,194.07950302124024,2.97050003051757,No,7886476,197.0500030517578,205.24000549316406,8.19000244140625
LICI.NS,1164.1611730224886,1175.0,1164.1611730224886,1170.0,1090.0,1160.550048828125,1151.5195612922637,12.641611730224895,No,7843256,1164.1611730224886,1160.550048828125,-3.6111241943635832
ASHOKA.NS,249.0,263.0,249.0,263.0,240.89999389648438,259.7900085449219,245.51,3.490000000000009,No,7633639,249.0,259.7900085449219,10.790008544921875
UNITDSPR.NS,1335.6500244140625,1417.3,1335.6500244140625,1417.300048828125,1360.0,1382.8499755859375,1334.6500244140625,25.3499755859375,No,6354320,1360.0,1382.8499755859375,22.8499755859375
AWHCL.NS,702.0,829.0,702.0,829.0,699.7000122070312,789.3499755859375,698.7000122070312,3.29998779296875,No,5788952,702.0,789.3499755859375,87.3499755859375
KCP.NS,273.94000244140625,281.79,273.94000244140625,281.7900085449219,269.6700134277344,271.30999755859375,270.2006024169922,3.739400024414067,No,3493251,273.94000244140625,271.30999755859375,-2.6300048828125
BHAGCHEM.NS,305.0,348.5,305.0,348.5,287.3500061035156,342.7099914550781,300.95,4.050000000000011,No,3169823,305.0,342.7099914550781,37.709991455078125
REFEX.NS,246.85000610351562,255.0,246.85000610351562,255.0,227.5,251.97000122070312,243.38150604248045,3.468500061035172,No,3032780,246.85000610351562,251.97000122070312,5.1199951171875
EMSLIMITED.NS,790.0,817.5,790.0,817.5,778.0,789.8499755859375,781.1,8.899999999999977,No,2835390,790.0,789.8499755859375,-0.1500244140625
OPTIEMUS.NS,434.148774560257,458.0,434.148774560257,458.0,394.8999938964844,438.79998779296875,428.8072868146544,5.341487745602592,No,2835044,434.148774560257,438.79998779296875,4.651213232711768
POCL.NS,1062.0,1230.65,1062.0,1230.6500244140625,1050.0,1230.6500244140625,1050.3799999999999,11.620000000000118,No,2143927,1062.0,1230.6500244140625,168.6500244140625
GRANULES.NS,530.6500244140625,543.0,530.6500244140625,543.0,528.0,537.9500122070312,527.0,3.6500244140625,No,1878977,530.6500244140625,537.9500122070312,7.29998779296875
WABAG.NS,1379.0,1404.85,1379.0,1404.8499755859375,1299.0,1337.800048828125,1364.21,14.789999999999964,Yes,1876216,1379.0,1364.21,-14.789999999999964
KSCL.NS,1100.0,1115.9,1100.0,1115.9000244140625,1008.9500122070312,1065.050048828125,1088.0,12.0,Yes,1870864,1100.0,1088.0,-12.0
GENESYS.NS,738.9000244140625,768.7,738.9000244140625,768.7000122070312,711.0,720.1500244140625,730.5110241699218,8.389000244140675,Yes,1483608,738.9000244140625,730.5110241699218,-8.389000244140675
PLATIND.NS,272.0,273.0,272.0,273.0,255.0,268.0,268.28,3.7200000000000273,Yes,1483399,272.0,268.28,-3.7200000000000273
APLLTD.NS,1165.0,1192.95,1165.0,1192.949951171875,1072.9000244140625,1175.4000244140625,1152.35,12.650000000000091,No,1319372,1165.0,1175.4000244140625,10.4000244140625
EPACK.NS,275.75,277.0,275.75,277.0,269.79998779296875,273.0899963378906,271.9925,3.757499999999993,No,1299016,275.75,273.0899963378906,-2.660003662109375
AGRITECH.NS,261.5,281.05,261.5,281.04998779296875,264.8999938964844,281.04998779296875,260.5,4.399993896484375,No,1251233,264.8999938964844,281.04998779296875,16.149993896484375
NATCOPHARM.NS,1311.0,1325.0,1311.0,1325.0,1249.0,1318.050048828125,1296.89,14.1099999999999,No,1174148,1311.0,1318.050048828125,7.050048828125
EPIGRAL.NS,1584.0,1724.0,1584.0,1724.0,1481.949951171875,1660.0999755859375,1567.16,16.839999999999918,No,1145595,1584.0,1660.0999755859375,76.0999755859375
MCDOWELL-N.NS,1324.4643447315452,1334.85,1324.4643447315452,1335.6500244140625,1317.5,1332.0,1316.5,7.964344731545225,No,1093010,1324.4643447315452,1332.0,7.535655268454775
TIPSINDLTD.NS,595.9500122070312,619.8,595.9500122070312,619.7999877929688,578.0,606.2999877929688,588.990512084961,6.959500122070267,No,1032257,595.9500122070312,606.2999877929688,10.3499755859375
WELCORP.NS,670.9500122070312,678.5,670.9500122070312,678.5,646.75,668.9000244140625,663.240512084961,7.709500122070267,No,1004770,670.9500122070312,668.9000244140625,-2.04998779296875
BLUEJET.NS,455.0,467.95,455.0,467.95001220703125,438.04998779296875,440.3999938964844,449.45,5.550000000000011,Yes,949334,455.0,449.45,-5.550000000000011
CMSINFO.NS,558.9500122070312,563.75,558.9500122070312,563.75,544.0,558.1500244140625,552.360512084961,6.5895001220702625,No,891503,558.9500122070312,558.1500244140625,-0.79998779296875
ASALCBR.NS,743.7000122070312,770.95,743.7000122070312,770.9500122070312,677.8499755859375,762.25,735.2630120849609,8.437000122070344,No,709753,743.7000122070312,762.25,18.54998779296875
SEAMECLTD.NS,1595.9000244140625,1610.0,1595.9000244140625,1610.0,1530.0,1539.3499755859375,1578.9410241699218,16.959000244140725,Yes,645646,1595.9000244140625,1578.9410241699218,-16.959000244140725
NEWGEN.NS,1096.800048828125,1156.95,1096.800048828125,1156.949951171875,1070.0,1087.550048828125,1084.8320483398438,11.968000488281177,No,601227,1096.800048828125,1087.550048828125,-9.25
GRAVITA.NS,1738.800048828125,1742.1,1738.800048828125,1742.0999755859375,1716.0,1703.4000244140625,1720.4120483398438,18.38800048828125,Yes,587463,1738.800048828125,1720.4120483398438,-18.38800048828125
GLENMARK.NS,1436.6500244140625,1447.8,1436.6500244140625,1447.800048828125,1417.0,1425.699951171875,1421.283524169922,15.366500244140525,No,574775,1436.6500244140625,1425.699951171875,-10.9500732421875
PANAMAPET.NS,434.1499938964844,441.0,434.1499938964844,441.0,419.70001220703125,431.95001220703125,428.80849395751954,5.34149993896483,No,567121,434.1499938964844,431.95001220703125,-2.199981689453125
NAVA.NS,850.0,868.75,850.0,868.75,816.5999755859375,832.7999877929688,840.5,9.5,Yes,465068,850.0,840.5,-9.5
SPORTKING.NS,1203.0999755859375,1319.9,1203.0999755859375,1319.9000244140625,1180.0,1203.75,1190.0689758300782,13.030999755859284,No,408625,1203.0999755859375,1203.75,0.6500244140625
SMSPHARMA.NS,277.67999267578125,282.8,277.67999267578125,282.79998779296875,276.0,273.2099914550781,275.0,2.67999267578125,Yes,384830,277.67999267578125,275.0,-2.67999267578125
INNOVACAP.NS,598.2999877929688,626.1,598.2999877929688,626.0999755859375,586.0,619.4000244140625,591.316987915039,6.982999877929728,No,359771,598.2999877929688,619.4000244140625,21.10003662109375
DOMS.NS,2365.0,2539.45,2365.0,2539.449951171875,2296.0,2494.0,2340.35,24.65000000000009,No,259065,2365.0,2494.0,129.0
PGIL.NS,891.0,895.0,891.0,895.0,870.0,881.25,881.09,9.909999999999968,No,224341,891.0,881.25,-9.75
LIBERTSHOE.NS,449.0,456.25,449.0,456.25,420.95001220703125,456.25,443.51,5.490000000000009,No,221757,449.0,456.25,7.25
CHEMFAB.NS,793.8499755859375,850.0,793.8499755859375,850.0,798.0,837.5,792.8499755859375,5.1500244140625,No,157383,798.0,837.5,39.5
THANGAMAYL.NS,1924.0,1967.25,1924.0,1967.25,1950.0,1942.550048828125,1923.0,27.0,No,153064,1950.0,1942.550048828125,-7.449951171875
TECHNOE.NS,1599.0999755859375,1620.15,1599.0999755859375,1620.1500244140625,1504.0,1619.949951171875,1582.1089758300782,16.99099975585932,No,106175,1599.0999755859375,1619.949951171875,20.8499755859375
RELIABLE.NS,79.80000305175781,82.55,79.80000305175781,82.55000305175781,82.55000305175781,82.55000305175781,78.80000305175781,3.75,No,63723,82.55000305175781,82.55000305175781,0.0
GANECOS.NS,1569.8499755859375,1575.7,1569.8499755859375,1575.699951171875,1485.0,1568.800048828125,1553.1514758300782,16.698499755859302,No,61530,1569.8499755859375,1568.800048828125,-1.0499267578125
SUNCLAY.NS,1845.050048828125,1925.25,1845.050048828125,1925.25,1755.0,1896.3499755859375,1825.5995483398438,19.45050048828125,No,49431,1845.050048828125,1896.3499755859375,51.2999267578125
SKYGOLD.NS,2250.0,2251.9,2250.0,2251.89990234375,2120.0,2251.89990234375,2226.5,23.5,No,28300,2250.0,2251.89990234375,1.89990234375
