auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,shortName,longName,firstTradeDateEpochUtc,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,Ticker,All Time High,52 Week High,Breakout Level,Today's High,Today's Open,Current Market Price,Stop Loss,Stop Loss Points,Stop Loss Hit,Entry Price,Exit Price,Trailing Exit,Profit,Trailing Profit
,,,,,86400,2,421.1,438.4,416.15,438.4,421.1,438.4,416.15,438.4,1,0.0936,1.006,39.48131,,122927,122927,221567,291341,291341,423.4,424.55,10664032256,119,438.4,2.7660706,315.421,256.442,9352811520,0.07084,6332585,25225300,0.76945996,,25243300,87.934,4.8041716,1711843200,1743379200,1711843200,0.198,273100000,10.7,,,,2.426,31.502,2.2292945,0.18961596,1,1722556800,MINDTECK(INDIA),Mindteck (India) Limited,1470109500,19800000,422.45,,,,,,none,,1248300032,49.689,296900000,22100000,3855300096,1,154.873,0.172,0.103,0.15781,0.077010006,0.0715,MINDTECK.NS,421.1000061,438.4,421.1000061,438.3999939,438.3999939,422.4500122,420.1000061,18.29998779,No,438.3999939,422.4500122,433.3999939,-15.94998169,-5
,,,,,86400,2,211.75,230,214.99,230,211.75,230,214.99,230,0.2,,1.218,49.522724,,180402,180402,241452,138822,138822,217.25,217.48,10808602624,88.4,230,1.2472048,165.2412,134.2373,11784265728,0.0253,10759003,49603500,0.7786,,50479000,30.577,7.1262712,1711843200,1743379200,1711843200,-0.775,219298000,4.4,,,,1.36,19.932,0.84210527,0.18961596,0.2,1718064000,Kriti Industries Ind Ltd,Kriti Industries (India) Limited,1320983100,19800000,217.9,,,,,,none,,2977000,0.06,591222016,1283697024,8666261504,84.637,174.711,-0.773,0.033,0.20195,0.06822,0.055040002,KRITI.NS,215,230,215,230,230,217.8999939,214,16,No,230,217.8999939,225,-12.1000061,-5
,,,,,86400,2,249.42,265,249.55,265,249.42,265,249.55,265,,,0.233,35.38419,,8942,8942,38429,194745,194745,256.09,256.31,4605145600,116,265,0.78978133,193.8914,174.0531,7284456448,0.0223,3982469,18048700,0.76868,,18050900,71.615,3.5623822,1711843200,1743379200,1711843200,-0.161,130033000,7.21,,,,1.249,15.01,0.88954544,0.18961596,,,Manomay Tex India Ltd,Manomay Tex India Limited,1674013500,19800000,255.12,,,,,,none,,207187008,11.502,485292992,2998868992,5830912000,232.473,322.861,-0.307,0.098,0.35952,0.083229996,0.06183,MANOMAY.NS,257,265,257,265,265,255.1199951,256,9,Yes,265,256,260,-9,-5
,,,,,86400,2,100.18,105.18,105.18,105.18,100.18,105.18,105.18,105.18,0.2,0.042600002,0.758,22.378725,,18371,18371,36598,47297,47297,,,1328833664,36.25,105.18,1.3204987,77.5664,64.2281,1389071616,0.058520004,3922074,12633900,0.6038,,12711200,41.187,2.5537183,1711843200,1743379200,1711843200,1.171,58886000,4.7,,,,1.38,12.667,1.4168878,0.18961596,0.2,1695340800,Power Instrument (G) Ltd,Power & Instrumental (Gujarat) Limited,1525751100,19800000,105.18,,,,,,none,,3604000,0.29,109659000,146716000,1006312000,28.641,80.319,1.216,-0.122,0.18797001,0.10897,0.09788,PIGL.NS,100.1800003,105.18,100.1800003,105.1800003,105.1800003,105.1800003,99.18000031,6,No,105.1800003,105.1800003,100.1800003,0,-5
,,,,,86400,2,1532.45,1609.05,1609.05,1609.05,1532.45,1609.05,1609.05,1609.05,0.2,0.012999999,1.123,105.02938,,47222,47222,553975,538511,538511,,,1.35E+11,579.85,1609.05,30.58513,1177.639,926.66876,1.26E+11,0.29073998,34724554,83607904,0.58682,0.039,,53.768,29.925793,1711843200,1743379200,1711843200,0.73,1278845952,15.32,,,,28.742,69.921,,,,,ZEN TECHNOLOGIES,Zen Technologies Limited,1427687100,19800000,1609.05,,,,,,none,,1681643008,20.154,1808049024,60338000,4398519808,1.294,53.134,0.726,0.475,0.70742995,0.41105998,0.33591,ZENTEC.NS,1532.449951,1609.05,1532.449951,1609.050049,1609.050049,1609.050049,1531.449951,77.60009766,No,1609.050049,1609.050049,1604.050049,0,-5
,,,,,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GOLDKART.NS,0P0001IHZO,2500",,1572925500,19800000,,,,,,,,,,,,,,,,,,,,,GOLDKART.NS,132.1999969,0,132.1999969,138.1000061,138.1000061,138.1000061,131.1999969,6.900009155,No,138.1000061,138.1000061,133.1000061,0,-5
,,,,,86400,2,211.86,222.45,216.43,222.45,211.86,222.45,216.43,222.45,,,0.494,13.170515,,187122,187122,154410,282240,282240,220.86,220.9,7302811136,49,222.45,1.2686205,164.1334,140.35385,8037344768,0.09721,15058426,32745500,0.53756,0.023510002,,8.54,26.04801,1711843200,1743379200,1711843200,32.12,559563008,16.89,,,,1.396,11.482,,,,,WANBURY LTD,Wanbury Limited,1170042300,19800000,222.45,,,,,,none,,58971000,1.802,700022016,1164845952,5756497920,416.889,175.916,31.516,0.048,0.47428,0.12161,0.10677,WANBURY.NS,211.8600006,222.45,211.8600006,222.4499969,222.4499969,222.4499969,210.8600006,11.58999634,No,222.4499969,222.4499969,217.4499969,0,-5
,,,,,86400,2,205.24,215.5,215.5,215.5,205.24,215.5,215.5,215.5,0.5,0.105500005,0.861,45.464138,,40484,40484,461717,192266,192266,,,20753469440,50.85,215.5,1.8632627,155.0672,135.61055,21532205056,0.042340003,30940225,96303800,0.69276,0.044060003,100207000,71.291,3.022822,1711843200,1743379200,1711843200,-0.602,471590016,4.74,,,,1.933,24.108,2.8908057,0.18961596,0.5,1695340800,OM INFRA LIMITED,Om Infra Limited,1308282300,19800000,215.5,,,,,,none,,822859008,8.11,893166976,1075399040,11138241536,13.985,111.952,-0.455,-0.147,0.55169,0.08019,0.08137,OMINFRAL.NS,205.2400055,215.5,205.2400055,215.5,215.5,215.5,204.2400055,11.25999451,No,215.5,215.5,210.5,0,-5
,,,,,86400,2,349.75,367.2,367.2,367.2,349.75,367.2,367.2,367.2,,,-3.136,52.75862,,2331,2331,3629,2158,2158,367.2,,4555152896,59.1,367.2,2.8581083,267.9496,224.5694,1631009408,0.01811,710172,12341600,0.50206,,12405100,-16.792,,1711843200,1743379200,1711843200,-0.199,28857000,6.96,,,,1.023,15.015,4.1320615,0.18961596,,,S & S POWER SWITCH,S&S Power Switchgear Limited,1585539900,19800000,367.2,,,,,,none,,93945000,29.149,108628000,586739008,1593764992,,384.399,0.019,-0.071,0.34465,0.06816,0.05307,S&SPOWER.NS,349.75,367.2,349.75,367.2000122,367.2000122,367.2000122,348.75,18.45001221,No,367.2000122,367.2000122,362.2000122,0,-5
,,,,,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KONTOR.NS,0P0001RNW5,57600",,1696909500,19800000,,,,,,,,,,,,,,,,,,,,,KONTOR.NS,165.6000061,0,165.6000061,173.8500061,173.8500061,173.8500061,164.6000061,9.25,No,173.8500061,173.8500061,168.8500061,0,-5
