Ticker,ATH,Today's High,T_open,CMP,SL,SL-HIT,Volume,Entry,Exit,Profit
IRFC.NS,224.39999389648438,229.0,220.39999389648438,217.5,222.15599395751954,Yes,167295252,224.39999389648438,222.15599395751954,-2.2439999389648335
NHPC.NS,118.0,118.4000015258789,113.80000305175781,115.94000244140625,116.82,Yes,138213024,118.0,116.82,-1.1800000000000068
ONGC.NS,311.75,323.6499938964844,311.79998779296875,322.5,311.75,No,51426299,311.79998779296875,322.5,10.70001220703125
ZOMATO.NS,223.25,232.0,225.0,229.14999389648438,223.25,No,51170099,225.0,229.14999389648438,4.149993896484375
GAIL.NS,234.10000610351562,238.0,229.60000610351562,237.16000366210938,231.75900604248048,No,32686557,234.10000610351562,237.16000366210938,3.05999755859375
RVNL.NS,645.0,647.0,637.0,626.0,638.55,Yes,29581621,645.0,638.55,-6.4500000000000455
CASTROLIND.NS,260.20001220703125,269.95001220703125,252.97000122070312,267.32000732421875,257.59801208496094,No,24777976,260.20001220703125,267.32000732421875,7.1199951171875
NLCINDIA.NS,292.02137868166506,302.6499938964844,280.0,294.5,289.1011648948484,No,24376312,292.02137868166506,294.5,2.4786213183349446
IRCON.NS,349.45001220703125,351.6000061035156,340.20001220703125,335.45001220703125,345.95551208496096,Yes,24116843,349.45001220703125,345.95551208496096,-3.494500122070292
INDIACEM.NS,307.8999938964844,317.70001220703125,298.0,307.3999938964844,304.82099395751953,No,15419724,307.8999938964844,307.3999938964844,-0.5
HBLPOWER.NS,621.0,645.6500244140625,575.5499877929688,629.3499755859375,614.79,No,12448682,621.0,629.3499755859375,8.3499755859375
KELLTONTEC.NS,163.6999969482422,184.3000030517578,159.5,182.11000061035156,162.06299697875977,No,12176525,163.6999969482422,182.11000061035156,18.410003662109375
MANAPPURAM.NS,225.38999938964844,229.75,225.0,222.07000732421875,225.0,Yes,11995582,225.38999938964844,225.0,-0.3899993896484375
ISMTLTD.NS,146.9499969482422,149.89999389648438,135.0,148.4499969482422,145.48049697875976,No,8029063,146.9499969482422,148.4499969482422,1.5
ZENSARTECH.NS,788.0,839.5,778.0,786.9000244140625,780.12,No,7351121,788.0,786.9000244140625,-1.0999755859375
PETRONET.NS,342.54998779296875,350.70001220703125,341.45001220703125,349.8999938964844,341.45001220703125,No,6507385,342.54998779296875,349.8999938964844,7.350006103515625
AUROPHARMA.NS,1344.199951171875,1409.9000244140625,1360.0,1375.550048828125,1344.199951171875,No,6364542,1360.0,1375.550048828125,15.550048828125
VTL.NS,570.8008182340052,585.0,527.6500244140625,552.4500122070312,565.0928100516651,Yes,3275910,570.8008182340052,565.0928100516651,-5.708008182340109
ESSARSHPNG.NS,61.95000076293945,68.13999938964844,64.0,68.13999938964844,61.95000076293945,No,3258122,64.0,68.13999938964844,4.1399993896484375
AMJLAND.NS,59.63999938964844,65.30999755859375,59.0,62.5,59.043599395751954,No,3053413,59.63999938964844,62.5,2.8600006103515625
ARTEMISMED.NS,224.60000610351562,249.0,217.3000030517578,236.07000732421875,222.35400604248048,No,2525785,224.60000610351562,236.07000732421875,11.470001220703125
