Ticker,ATH,52WeekHigh,Breakout,Today's High,T_open,CMP,SL,SL Points,SL-HIT,Volume,Entry,Exit,Profit
ONGC.NS,333.29998779296875,337.55,333.29998779296875,337.54998779296875,318.04998779296875,336.29998779296875,328.96698791503906,4.332999877929694,No,39237131,333.29998779296875,336.29998779296875,3.0
TATAMOTORS.NS,1062.321737133582,1094.0,1062.321737133582,1094.0,1029.0,1090.25,1050.6985197622462,11.62321737133584,No,31236871,1062.321737133582,1090.25,27.92826286641798
NTPC.NS,395.0,396.3,395.0,396.29998779296875,390.95001220703125,392.25,390.05,4.949999999999989,No,24299157,395.0,392.25,-2.75
FEDERALBNK.NS,204.0,205.15,204.0,205.14999389648438,199.6999969482422,204.75999450683594,200.96,3.039999999999992,No,23899319,204.0,204.75999450683594,0.7599945068359375
NOVAAGRI.NS,83.91000366210938,94.0,83.91000366210938,94.0,85.80000305175781,90.0,82.91000366210938,2.8899993896484375,No,20525951,85.80000305175781,90.0,4.1999969482421875
PETRONET.NS,358.3500061035156,366.4,358.3500061035156,366.3999938964844,344.6000061035156,365.70001220703125,353.76650604248044,4.583500061035181,No,14260444,358.3500061035156,365.70001220703125,7.350006103515625
INDIACEM.NS,359.6499938964844,364.5,359.6499938964844,364.5,345.0,359.45001220703125,355.05349395751955,4.596499938964826,No,12736041,359.6499938964844,359.45001220703125,-0.199981689453125
JYOTHYLAB.NS,549.9371463744753,573.85,549.9371463744753,573.8499755859375,507.0,548.0,543.4377749107306,6.499371463744751,No,12489469,549.9371463744753,548.0,-1.9371463744753328
LLOYDSENGG.NS,88.33502199581066,90.0,88.33502199581066,90.0,84.97000122070312,88.6500015258789,86.45167177585256,1.8833502199581034,No,12150964,88.33502199581066,88.6500015258789,0.31497953006824275
PGEL.NS,407.95001220703125,464.0,407.95001220703125,464.0,448.70001220703125,454.0,406.95001220703125,41.75,No,8759988,448.70001220703125,454.0,5.29998779296875
WELSPUNLIV.NS,182.0,184.5,182.0,184.5,176.14999389648438,179.22999572753906,179.18,2.819999999999993,No,7995955,182.0,179.22999572753906,-2.7700042724609375
MCDOWELL-N.NS,1335.6500244140625,1334.85,1334.85,1417.300048828125,1360.0,1382.8499755859375,1333.85,26.15000000000009,No,6354785,1360.0,1382.8499755859375,22.8499755859375
ELECTCAST.NS,212.8000030517578,217.8,212.8000030517578,217.8000030517578,209.0,210.5500030517578,209.67200302124024,3.128000030517569,No,5923009,212.8000030517578,210.5500030517578,-2.25
TATAMTRDVR.NS,709.2255399653033,749.4,709.2255399653033,749.4000244140625,700.0,747.75,701.1332845656502,8.092255399653027,No,5291106,709.2255399653033,747.75,38.524460034696745
LICI.NS,1170.0,1175.0,1170.0,1173.0,1140.0,1161.75,1157.3,12.700000000000045,No,5251366,1170.0,1161.75,-8.25
SUNPHARMA.NS,1633.6694357117524,1681.3,1633.6694357117524,1681.300048828125,1614.8499755859375,1660.800048828125,1616.332741354635,17.336694357117494,No,5148380,1633.6694357117524,1660.800048828125,27.130613116372615
BHAGCHEM.NS,348.5,399.0,348.5,399.0,335.0,375.79998779296875,344.015,4.485000000000014,No,4683930,348.5,375.79998779296875,27.29998779296875
SBILIFE.NS,1664.949951171875,1701.35,1664.949951171875,1701.3499755859375,1645.0,1694.300048828125,1647.3004516601563,17.64949951171866,No,4265239,1664.949951171875,1694.300048828125,29.35009765625
FORTIS.NS,508.8035072456468,514.7,508.8035072456468,514.7000122070312,482.3999938964844,501.1000061035156,502.71547217319034,6.088035072456478,Yes,4226163,508.8035072456468,502.71547217319034,-6.088035072456478
MARKSANS.NS,207.5500030517578,211.7,207.5500030517578,211.6999969482422,204.0,201.2100067138672,204.47450302124022,3.0755000305175884,Yes,3857835,207.5500030517578,204.47450302124022,-3.0755000305175884
EPACK.NS,277.0,286.0,277.0,286.0,277.8999938964844,261.0199890136719,276.0,1.899993896484375,Yes,3653396,277.8999938964844,276.0,-1.899993896484375
GRANULES.NS,543.0,553.4,543.0,553.4000244140625,537.0499877929688,550.5,536.57,6.42999999999995,No,3440907,543.0,550.5,7.5
UNITDSPR.NS,1417.300048828125,1450.0,1417.300048828125,1450.0,1374.0,1447.699951171875,1402.1270483398437,15.173000488281332,No,3255348,1417.300048828125,1447.699951171875,30.39990234375
OPTIEMUS.NS,458.0,469.0,458.0,469.0,437.04998779296875,443.79998779296875,452.42,5.579999999999984,Yes,2925188,458.0,452.42,-5.579999999999984
KOTHARIPET.NS,167.95810025591638,185.7,167.95810025591638,185.6999969482422,157.38999938964844,179.11000061035156,165.27851925335722,2.6795810025591607,No,2569596,167.95810025591638,179.11000061035156,11.151900354435185
RATNAVEER.NS,205.16000366210938,208.35,205.16000366210938,208.35000610351562,191.60000610351562,194.5,202.10840362548828,3.051600036621096,Yes,2568200,205.16000366210938,202.10840362548828,-3.051600036621096
AWHCL.NS,829.0,834.8,829.0,834.7999877929688,778.0,810.4500122070312,819.71,9.289999999999964,Yes,2156409,829.0,819.71,-9.289999999999964
TIRUMALCHM.NS,331.8537065660747,341.0,331.8537065660747,341.0,316.0,332.04998779296875,327.535169500414,4.318537065660735,No,2068083,331.8537065660747,332.04998779296875,0.19628122689402971
PLATIND.NS,273.0,288.23,273.0,288.2300109863281,264.04998779296875,275.4200134277344,269.27,3.730000000000018,No,1943852,273.0,275.4200134277344,2.420013427734375
AGRITECH.NS,281.04998779296875,309.15,281.04998779296875,309.1499938964844,286.010009765625,268.29998779296875,280.04998779296875,5.96002197265625,Yes,1666601,286.010009765625,280.04998779296875,-5.96002197265625
