Ticker,ATH,52WeekHigh,Breakout,Today's High,Today High trail SL,T_open,CMP,SL,SL Points,SL-HIT,Volume,Entry,Exit,Profit,Trailing Exit,trailing profit,trailing profit2
AGRITECH.NS,281.0499878,309.15,281.0499878,309.1499939,6.182999878,286.0100098,267.1799927,280.0499878,5.960021973,Yes,1713894,286.0100098,280.0499878,-5.960021973,302.966994,16.95698425,1.182999878
SUVENPHAR.NS,889.7000122,922.9,889.7000122,922.9000244,18.45800049,872.2999878,912.4500122,879.8030121,9.897000122,No,1542150,889.7000122,912.4500122,22.75,904.4420239,14.74201172,13.45800049
ICICIGI.NS,1925,1965,1925,1965,39.3,1902,1960.5,1904.75,20.25,No,1248184,1925,1960.5,35.5,1925.7,0.7,34.3
TIPSINDLTD.NS,619.7999878,624.9,619.7999878,624.9000244,12.49800049,607,609.0499878,612.6019879,7.197999878,Yes,1228741,619.7999878,612.6019879,-7.197999878,612.4020239,-7.397963867,7.498000488
INDIAGLYCO.NS,1131.029489,1205.95,1131.029489,1205.949951,24.11899902,1090,1174.75,1118.719194,12.31029489,No,1175932,1131.029489,1174.75,43.72051121,1181.830952,50.80146336,19.11899902
WORTH.NS,136.9499969,145,136.9499969,145,2.9,121.9899979,142.6499939,134.580497,2.369499969,No,1172924,136.9499969,142.6499939,5.699996948,142.1,5.150003052,-2.1
DHARMAJ.NS,328.4599915,347.4,328.4599915,347.3999939,6.947999878,307.6499939,333.7600098,324.1753915,4.284599915,No,1108956,328.4599915,333.7600098,5.300018311,340.451994,11.99200256,1.947999878
ZYDUSLIFE.NS,1203,1210,1203,1210,24.2,1175.949951,1205.800049,1189.97,13.03,No,980491,1203,1205.800049,2.800048828,1185.8,-17.2,19.2
NATCOPHARM.NS,1325,1339.8,1325,1339.800049,26.79600098,1309,1323.800049,1310.75,14.25,No,959216,1325,1323.800049,-1.199951172,1313.004048,-11.99595215,21.79600098
EPIGRAL.NS,1724,1776.85,1724,1776.849976,35.53699951,1660,1726.25,1705.76,18.24,No,794127,1724,1726.25,2.25,1741.312976,17.31297607,30.53699951
GLENMARK.NS,1447.800049,1451,1447.800049,1451,29.02,1419.849976,1424.599976,1432.322048,15.47800049,Yes,772174,1447.800049,1432.322048,-15.47800049,1421.98,-25.82004883,24.02
POCL.NS,1230.650024,1299.95,1230.650024,1299.949951,25.99899902,1240,1216.349976,1229.650024,10.34997559,Yes,736684,1240,1229.650024,-10.34997559,1273.950952,33.95095215,20.99899902
APLLTD.NS,1192.949951,1218,1192.949951,1218,24.36,1170,1200.949951,1180.020452,12.92949951,No,638863,1192.949951,1200.949951,8,1193.64,0.690048828,19.36
AMNPLST.NS,346,357.7,346,357.7000122,7.154000244,342,325.7999878,341.54,4.46,Yes,635337,346,341.54,-4.46,350.546012,4.546011963,2.154000244
NITINSPIN.NS,442.8500061,447.05,442.8500061,447.0499878,8.940999756,434.9500122,438,437.421506,5.428500061,No,631855,442.8500061,438,-4.850006104,438.108988,-4.741018066,3.940999756
FAZE3Q.NS,545,573.05,545,573.0499878,11.46099976,477.5,561.6500244,538.55,6.45,No,628670,545,561.6500244,16.65002441,561.588988,16.58898804,6.460999756
GOKEX.NS,1022.950012,1042.1,1022.950012,1042.099976,20.84199951,979,979.6500244,1011.720512,11.22950012,Yes,601153,1022.950012,1011.720512,-11.22950012,1021.257976,-1.692036133,15.84199951
ARVSMART.NS,762.9413133,791,762.9413133,791,15.82,720,787.9000244,754.3119002,8.629413133,No,583480,762.9413133,787.9000244,24.95871108,775.18,12.23868666,10.82
GRAVITA.NS,1742.099976,1763.95,1742.099976,1763.949951,35.27899902,1691.949951,1657.400024,1723.678976,18.42099976,Yes,450871,1742.099976,1723.678976,-18.42099976,1728.670952,-13.42902344,30.27899902
LIBERTSHOE.NS,456.25,493.65,456.25,493.6499939,9.872999878,460,471.0499878,455.25,4.75,No,389775,460,471.0499878,11.04998779,483.776994,23.77699402,4.872999878
GODREJAGRO.NS,866.515892,876.7,866.515892,872,17.44,861,847.5,860,6.515891988,Yes,338322,866.515892,860,-6.515891988,854.56,-11.95589199,12.44
PANAMAPET.NS,441,444.25,441,444.25,8.885,433,425.5499878,435.59,5.41,Yes,292230,441,435.59,-5.41,435.365,-5.635,3.885
VENUSPIPES.NS,2275,2296,2275,2296,45.92,2162.350098,2254.399902,2251.25,23.75,No,279127,2275,2254.399902,-20.60009766,2250.08,-24.92,40.92
BBOX.NS,430,435.35,430,435.3500061,8.707000122,421,435.3500061,424.7,5.3,No,263977,430,435.3500061,5.350006104,426.643006,-3.356994019,3.707000122
LEMERITE.NS,182.1999969,0,182.1999969,197.5,3.95,189.3999939,195,181.1999969,8.199996948,No,256000,189.3999939,195,5.600006104,193.55,4.150006104,-1.05
PRUDENT.NS,2156,2286.85,2156,2286.850098,45.73700195,2181,2253.699951,2155,26,No,180007,2181,2253.699951,72.69995117,2241.113096,60.1130957,40.73700195
INNOVACAP.NS,626.0999756,635,626.0999756,635,12.7,618.9500122,626.7000122,618.8389758,7.260999756,No,178013,626.0999756,626.7000122,0.600036621,622.3,-3.799975586,7.7
TECHNOE.NS,1620.150024,1684.45,1620.150024,1684.449951,33.68899902,1574,1671.949951,1602.948524,17.20150024,No,159146,1620.150024,1671.949951,51.79992676,1650.760952,30.61092773,28.68899902
ASALCBR.NS,770.9500122,787.45,770.9500122,787.4500122,15.74900024,754,762.0499878,762.2405121,8.709500122,Yes,151177,770.9500122,762.2405121,-8.709500122,771.701012,0.750999756,10.74900024
PGIL.NS,895,904,895,904,18.08,872.5499878,890.25,885.05,9.95,No,138033,895,890.25,-4.75,885.92,-9.08,13.08
PITTIENG.NS,1204,1208.8,1204,1208.800049,24.17600098,1193,1188.099976,1192,12,Yes,136667,1204,1192,-12,1184.624048,-19.37595215,19.17600098
KINGFA.NS,2855.949951,2889.95,2855.949951,2889.949951,57.79899902,2510,2851.449951,2826.390452,29.55949951,No,130187,2855.949951,2851.449951,-4.5,2832.150952,-23.79899902,52.79899902
CHEMFAB.NS,850,898.95,850,898.9500122,17.97900024,836.0499878,874.5499878,840.5,9.5,No,126429,850,874.5499878,24.54998779,880.971012,30.97101196,12.97900024
RELIABLE.NS,82.55000305,86.65,82.55000305,86.65000153,1.733000031,86,84.44999695,81.55000305,4.449996948,No,113872,86,84.44999695,-1.550003052,84.9170015,-1.082998505,-3.266999969
GANECOS.NS,1575.699951,1594.45,1575.699951,1594.449951,31.88899902,1556.449951,1584.300049,1558.942952,16.75699951,No,79717,1575.699951,1584.300049,8.600097656,1562.560952,-13.13899902,26.88899902
IFBIND.NS,1755,1765,1755,1765,35.3,1714,1741.449951,1736.45,18.55,No,75874,1755,1741.449951,-13.55004883,1729.7,-25.3,30.3
PIGL.NS,92.99800362,95.41,92.99800362,95.41000366,1.908200073,95.30000305,95.41000366,91.99800362,3.301999435,No,71837,95.30000305,95.41000366,0.11000061,93.50180359,-1.798199463,-3.091799927
IMPAL.NS,1189.75,1311.2,1189.75,1311.199951,26.22399902,1128,1254.949951,1176.8525,12.8975,No,61404,1189.75,1254.949951,65.19995117,1284.975952,95.22595215,21.22399902
SKYGOLD.NS,2251.899902,2364.4,2251.899902,2364.399902,47.28799805,2300,2335.75,2250.899902,49.10009766,No,43056,2300,2335.75,35.75,2317.111904,17.1119043,42.28799805
SUNCLAY.NS,1925.25,1950,1925.25,1950,39,1890,1902,1904.9975,20.2525,Yes,37093,1925.25,1904.9975,-20.2525,1911,-14.25,34
WOMANCART.NS,276,0,276,289.7999878,5.795999756,289.7999878,289.75,275,14.79998779,No,12800,289.7999878,289.75,-0.049987793,284.003988,-5.795999756,0.795999756
GOLDKART.NS,126,0,126,132.1999969,2.643999939,131.8000031,131.9499969,125,6.800003052,No,5000,131.8000031,131.9499969,0.149993896,129.555997,-2.244006042,-2.356000061
KONTOR.NS,150.25,0,150.25,157.75,3.155,157.75,157.75,149.25,8.5,No,4800,157.75,157.75,0,154.595,-3.155,-1.845
