Ticker,All Time High,52 Week High,Breakout Level,Today's High,Trailing Stop Loss,Today's Open,Current Market Price,Stop Loss,Stop Loss Points,Stop Loss Hit,Volume,Entry Price,Exit Price,Profit
ASHOKLEY.NS,245.6699981689453,248.89,245.6699981689453,248.88999938964844,4.977799987792969,235.10000610351562,246.85000610351562,242.21329818725584,3.456699981689468,No,33628639,245.6699981689453,246.85000610351562,1.1800079345703125
INDUSTOWER.NS,439.70001220703125,447.35,439.70001220703125,447.3500061035156,8.947000122070312,439.8999938964844,443.20001220703125,438.70001220703125,1.199981689453125,No,14176801,439.8999938964844,443.20001220703125,3.300018310546875
TATAMOTORS.NS,1094.0,1111.95,1094.0,1111.949951171875,22.2389990234375,1111.949951171875,1104.5,1093.0,18.949951171875,No,11880143,1111.949951171875,1104.5,-7.449951171875
LLOYDSENGG.NS,90.80000305175781,92.49,90.80000305175781,92.48999786376953,1.8497999572753907,90.97000122070312,91.22000122070312,89.80000305175781,1.1699981689453125,No,8267652,90.97000122070312,91.22000122070312,0.25
KARURVYSYA.NS,219.89999389648438,229.34,219.89999389648438,229.33999633789062,4.586799926757813,216.97999572753906,224.99000549316406,216.70099395751953,3.198999938964846,No,7351278,219.89999389648438,224.99000549316406,5.0900115966796875
INDIACEM.NS,366.0,372.2,366.0,372.20001220703125,7.444000244140625,364.0,371.29998779296875,363.0,3.0,No,7226104,366.0,371.29998779296875,5.29998779296875
INFY.NS,1852.6023242445406,1881.45,1852.6023242445406,1881.449951171875,37.6289990234375,1825.3499755859375,1868.949951171875,1833.076301002095,19.52602324244549,No,6339508,1852.6023242445406,1868.949951171875,16.34762692733443
PETRONET.NS,367.8999938964844,377.95,367.8999938964844,377.95001220703125,7.559000244140625,368.3999938964844,373.3999938964844,366.8999938964844,1.5,No,5113789,368.3999938964844,373.3999938964844,5.0
FSL.NS,258.95001220703125,262.8,258.95001220703125,262.79998779296875,5.255999755859375,249.35000610351562,260.0,255.36051208496093,3.5895001220703193,No,5109178,258.95001220703125,260.0,1.04998779296875
CASTROLIND.NS,277.69000244140625,278.85,277.69000244140625,278.8500061035156,5.577000122070313,272.5,268.260009765625,273.91310241699216,3.77690002441409,Yes,4902141,277.69000244140625,273.91310241699216,-3.77690002441409
WELSPUNLIV.NS,184.5,186.0,184.5,186.0,3.72,180.25,184.86000061035156,181.655,2.844999999999999,No,4619486,184.5,184.86000061035156,0.3600006103515625
LICI.NS,1173.0,1197.0,1173.0,1197.0,23.94,1165.0,1186.5999755859375,1164.0,9.0,No,4493241,1173.0,1186.5999755859375,13.5999755859375
GHCLTEXTIL.NS,97.71093305319259,106.5,97.71093305319259,106.5,2.13,94.0,103.33000183105469,95.73382372266066,1.9771093305319312,No,3738031,97.71093305319259,103.33000183105469,5.619068777862097
MCDOWELL-N.NS,1417.300048828125,1334.85,1334.85,1450.0,29.0,1374.0,1443.800048828125,1333.85,40.15000000000009,No,3367113,1374.0,1443.800048828125,69.800048828125
IONEXCHANG.NS,710.0,768.4,710.0,768.4000244140625,15.36800048828125,668.9000244140625,729.5,701.9,8.100000000000023,No,3250093,710.0,729.5,19.5
EMSLIMITED.NS,817.5,874.0,817.5,874.0,17.48,777.4000244140625,839.0999755859375,808.325,9.174999999999955,No,2855528,817.5,839.0999755859375,21.5999755859375
FORTIS.NS,514.7000122070312,532.25,514.7000122070312,532.25,10.645,508.45001220703125,525.0,508.5530120849609,6.147000122070324,No,2764190,514.7000122070312,525.0,10.29998779296875
SUNPHARMA.NS,1681.300048828125,1712.4,1681.300048828125,1712.4000244140625,34.24800048828125,1670.449951171875,1689.0,1669.449951171875,11.85009765625,No,2441625,1681.300048828125,1689.0,7.699951171875
ICICIPRULI.NS,722.0654045794962,729.0,722.0654045794962,729.0,14.58,702.7999877929688,727.4500122070312,713.8447505337012,8.220654045794959,No,2346374,722.0654045794962,727.4500122070312,5.384607627535047
EVEREADY.NS,460.13138957709987,463.0,460.13138957709987,463.0,9.26,426.0,429.8999938964844,454.53007568132887,5.601313895771,Yes,2105473,460.13138957709987,454.53007568132887,-5.601313895771
BANCOINDIA.NS,744.1500244140625,767.0,744.1500244140625,767.0,15.34,691.75,727.9000244140625,735.7085241699218,8.441500244140684,Yes,2036010,744.1500244140625,735.7085241699218,-8.441500244140684
AWHCL.NS,834.7999877929688,902.0,834.7999877929688,902.0,18.04,822.2000122070312,856.2000122070312,825.451987915039,9.347999877929738,No,1922873,834.7999877929688,856.2000122070312,21.4000244140625
SBILIFE.NS,1701.3499755859375,1777.7,1701.3499755859375,1777.699951171875,35.5539990234375,1686.25,1770.1500244140625,1685.25,16.0999755859375,No,1845022,1701.3499755859375,1770.1500244140625,68.800048828125
ASHOKA.NS,263.0,271.9,263.0,271.8999938964844,5.437999877929688,260.0,266.32000732421875,259.37,3.6299999999999955,No,1679865,263.0,266.32000732421875,3.32000732421875
PGEL.NS,464.0,468.9,464.0,468.8999938964844,9.377999877929687,462.1000061035156,447.25,461.1000061035156,2.899993896484375,Yes,1501298,464.0,461.1000061035156,-2.899993896484375
VBL.NS,1672.0,1681.0,1672.0,1681.0,33.62,1666.0999755859375,1679.0,1665.0999755859375,6.9000244140625,No,1498686,1672.0,1679.0,7.0
MOS.NS,213.39999389648438,0.0,213.39999389648438,224.8000030517578,4.496000061035156,200.85000610351562,216.89999389648438,210.26599395751953,3.1339999389648483,No,1400000,213.39999389648438,216.89999389648438,3.5
